stage,start,finish,time,role,model,milestone,tool,device,effort
Workspace settting,31/07/2026 8:25,31/07/2026 8:38,0:13:00,AI,Sonnet 5,"Sincroniza local tras fusionar PR #78/#79, verifica tsc/tests en main, cierra Tareas 1-2 en TODO.md (movidas a MEMORY.md), promueve Primer despliegue a produccion como unico item activo, pendiente de confirmacion explicita del usuario; PR #80 solo-docs.",Claude Code,cli,low
Cloud infraestructure,31/07/2026 14:00,31/07/2026 14:46,0:46:00,AI,Sonnet 5,"Descubre que produccion ya desplegaba automaticamente en cada push a main (sin aprobacion, stack babel-letiende-production sano y vacio desde 23/07); investiga zona Route53 letiende.co y patron de Comandante (Firebase Hosting, no aplicable); agrega dominio personalizado babel.letiende.co a serverless.yml (ACM+ApiGatewayV2 DomainName+ApiMapping+Route53 alias, condicionado a stage production, verificado compilando CloudFormation real para ambos stages); PR #81.",Claude Code,cli,high
Cloud infraestructure,31/07/2026 17:50,31/07/2026 18:27,0:37:00,AI,Sonnet 5,"Diagnostica bug real en produccion (Host header rechazado por AngularNodeAppEngine): NG_ALLOWED_HOSTS de la Lambda ssr solo autorizaba el hostname crudo de API Gateway, nunca se actualizo al agregar babel.letiende.co; corregido con Fn::If condicionado a EsProduccion, verificado contra CloudFormation compilado real; confirma que el Not Found en el hostname regional crudo es comportamiento esperado (SNI), no un bug; corrige ademas el orden cronologico de 2 filas de este CSV movidas por PRs paralelos; PR #82.",Claude Code,cli,high
Cloud infraestructure,01/08/2026 13:16,01/08/2026 13:45,0:29:00,AI,Opus 5,"Diagnostica sobrecosto de AWS de julio (US$94.44, 96% DynamoDB) a partir del CSV de Cost Explorer: prueba que el cobro plano de US$8.424/dia corresponde exactamente a 18 unidades de capacidad PROVISIONED 25/25 (8 tablas x 2 stages + 2 GSIs = 450 RCU/450 WCU, 18x el limite gratuito que es POR CUENTA y no por tabla), proyectando ~US$256/mes con production vacio y 43 items en staging; descarta migrar a Firebase o cancelar el proyecto; convierte en caliente las 16 tablas a PAY_PER_REQUEST por CLI verificando integridad de datos, corrige serverless.yml (8 tablas + GSI isbn-index) y tech-specs.md 7.3 donde vivia la premisa falsa, agrega maxPreviousDeploymentArtifacts (6.6 GB de artefactos acumulados en S3) y crea docs/advertencia-urgente-costos-aws.md para el proyecto Agora; PR #83.",Claude Code,cli,high
Cloud infraestructure,01/08/2026 13:50,01/08/2026 15:05,1:15:00,AI,Sonnet 5,"Verifica que las 16 tablas siguen PAY_PER_REQUEST tras fusionar PR #83; corrige el diagnostico de S3 (Serverless ya podaba a 5 por stage por defecto -- el costo real era el tamano de 30.5MB por funcion, no acumulacion) y poda 3.97 GB de despliegues viejos de Babel; elimina 4 stacks CloudFormation sin uso (scrappy-dev, app-alorios-dev, letiende-dev, ocastelblanco-com-preview), pero el ultimo tenia un dominio personalizado externo (api.ocastelblanco.com) no visible en list-stack-resources y quedo caido con 404 durante ~15 min; recupera liberando el mapping, reintentando delete-stack y redesplegando el proyecto original (2 intentos, el primero fallo por consistencia eventual de IAM), verificado con curl que el servicio responde; corrige presupuestos mal calibrados (limite mensual por debajo del piso fijo de Route53, limite diario que da falso positivo el dia 1); actualiza docs/advertencia-urgente-costos-aws.md con las 4 lecciones nuevas y corrige fechas; PR de documentacion.",Claude Code,cli,high
Cloud infraestructure,01/08/2026 17:50,01/08/2026 18:07,0:17:00,AI,Sonnet 5,"Crea directamente en DynamoDB de produccion (babel-muebles-production/babel-ubicaciones-production) los 22 muebles y 105 ubicaciones restantes del catalogo fisico de Sala principal (14 Bibliotecas x 5 estantes + 3 Exhibidores x 4 estantes) y Sala VIP (3 Bibliotecas + Mesa + Vitrina), mas las 4 ubicaciones faltantes de Exhibidor 2 en Terraza; verifica el estado previo por scan antes de escribir para no duplicar los 3 espacios/2 muebles/4 ubicaciones que el usuario ya habia creado a mano en la UI; batch-write-item vía AWS CLI (perfil default), sin pasar por la API ni por PR (dato, no codigo).",Claude Code,cli,medium
Cloud infraestructure,01/08/2026 18:07,01/08/2026 18:11,0:04:00,AI,Sonnet 5,"Copia los 4 sitios administrables de babel-sitios-scraping-staging (Libreria Lerner, Libreria Nacional, Tornamesa, Busca Libre) a babel-sitios-scraping-production, que estaba vacia; batch-write-item vía AWS CLI conservando dominio/nombre/url/info/pvp/prioridad exactos (dato, no codigo, sin pasar por PR).",Claude Code,cli,low
Specs definition,03/08/2026 21:35,03/08/2026 21:41,0:06:00,AI,Opus 5,"Reescribe README.md (ingles) y crea README.es.md (español) como pieza de portafolio: resumen ejecutivo con metricas, diagrama Mermaid de arquitectura, seccion de entrega instrumentada con el reparto Pareto 20.8/79.2 y tablas de esfuerzo por canal/etapa/modelo derivadas de tracking-detail.csv, AI-Augmented SDLC, incidente de costos AWS y tabla OWASP.",Claude Code,cli,high
Workspace settting,03/08/2026 21:53,03/08/2026 21:54,0:01:00,AI,Opus 5,"Propaga la correccion del nombre de la guardia SSRF (validarHostSeguro -> esUrlSegura, el nombre real exportado en server/api/services/scraping.ts) a los 2 documentos historicos que aun lo mencionaban: docs/plan-obtencion-info-libros.md (3) y docs/MEMORY.md (ADR-011).",Claude Code,cli,low
Workspace settting,04/08/2026 11:17,04/08/2026 11:19,0:02:00,AI,Opus 5,"Limpieza local tras la fusion del PR #86: checkout y pull de main, borrado de la rama docs/readme-portafolio y prune de origin; verificacion de que los READMEs y la correccion de esUrlSegura llegaron a main.",Claude Code,cli,low
Workspace settting,04/08/2026 11:19,04/08/2026 11:22,0:03:00,AI,Opus 5,"Revisa la regla de seguimiento de tiempos de CLAUDE.md 8 para cubrir las tareas sin PR (housekeeping de git tras un merge), que no tenian via legal hacia main.",Claude Code,cli,low
Workspace settting,04/08/2026 11:36,04/08/2026 11:37,0:01:00,AI,Opus 5,"Cierra la regla de tracking: el agente si edita el CSV y la fila viaja en el PR abierto o en el siguiente; ingresa al CSV las 3 filas pendientes del dia para que el usuario las commitee a main, por pausa de una semana del proyecto.",Claude Code,cli,low
14/08/2026 17:48,14/08/2026 17:56,0:08:00,AI,Sonnet 5,"Confirma que las tablas de produccion de Babel (espacios/muebles/ubicaciones) ya existen en DynamoDB con datos reales; corrige README.md de tools/qr-muebles (decia que produccion no existia) y verifica con una corrida real (--stage production) que las 24 estampillas generan y decodifican correctamente",Claude Code,cli,low
Frontend,18/08/2026 17:19,18/08/2026 17:27,0:08:00,AI,Sonnet 5,"Reforma del header superior (mismo patron que Agora): nuevo BarraNavegacionComponent (logo+nombre a home, boton-icono Ingresar, avatar+Cerrar sesion, drawer mobile), renombra ruta/link Gestionar a Catalogar, quita Volver al catalogo del login; actualiza TODO/PRD/tech-specs/DESIGN; build y 325 tests en verde, rama feature/reforma-header-superior lista para PR",Claude Code,cli,high
Workspace settting,18/08/2026 17:42,18/08/2026 17:45,0:03:00,AI,Sonnet 5,"Cierra la tarea Reforma del header en TODO.md (PR #88, validada en staging por el usuario); cierre retroactivo de Primer despliegue a produccion (ya realizado 03/08/2026, nunca marcado cerrado) en TODO.md/PRD.md 6, roadmap principal queda completo; purga tech-specs.md de rutas y guards desactualizados (/libro/:isbn, /venta, /libros, AuthGuard inexistentes) y lo alinea con app.routes.ts real; corrige URL de produccion en MEMORY.md",Claude Code,cli,low
Frontend,18/08/2026 17:50,18/08/2026 17:52,0:02:00,AI,Sonnet 5,"Elimina el link 'Volver al catalogo' de la ficha de libro (/libro/:bookId), olvidado en la reforma del header; quita el import RouterLink ya sin uso y corrige un comentario obsoleto (App.esAdministrador -> BarraNavegacionComponent.esAdministrador); actualiza TODO.md/DESIGN.md; build y 325 tests en verde",Claude Code,cli,low
Workspace settting,18/08/2026 18:26,18/08/2026 18:26,0:01:00,AI,Sonnet 5,"Confirma fusion del PR #88 (reforma del header), sincroniza main local (fast-forward, 23 archivos), borra la rama local feature/reforma-header-superior y poda la referencia remota ya eliminada por GitHub",Claude Code,cli,low
Backend,18/08/2026 20:25,18/08/2026 20:31,0:06:00,AI,Sonnet 5,"Corrige bug real: catalogar/editar/fusionar un libro sin ISBN fallaba porque el GSI isbn-index de babel-libros exige el atributo isbn ausente (no null) para quedar fuera del indice disperso; agrega omitirCamposNulos() en dynamodb.ts, aplica en handlerCrear/handlerEditar (PutCommand) y en fusionarLibroDuplicado (UpdateCommand, SET/REMOVE condicional); tests nuevos; build y 291 tests de backend en verde",Claude Code,cli,medium
Workspace settting,18/08/2026 22:16,18/08/2026 22:18,0:02:00,AI,Sonnet 5,"Cierra la Tarea 1 (isbn nulo) en TODO.md con PR #89, validada en staging por el usuario; agrega la entrada correspondiente a MEMORY.md 2 (incluye hallazgo de fusionarLibroDuplicado no anticipado en el plan) y actualiza el estado actual (1); deja abierta la Tarea 2 (palabras clave de portada invalida) para arrancar tras fusionar este PR",Claude Code,cli,low
Workspace settting,18/08/2026 22:35,18/08/2026 22:36,0:01:00,AI,Sonnet 5,"Confirma fusion del PR #89 (fix isbn nulo), sincroniza main local (fast-forward, 6 archivos), borra la rama local fix/isbn-nulo-catalogar y poda la referencia remota ya eliminada por GitHub",Claude Code,cli,low
Backend,18/08/2026 22:45,18/08/2026 22:55,0:10:00,AI,Sonnet 5,"Implementa la Tarea 2 (palabras clave que invalidan una portada de scraping): campo palabrasClaveInvalidas en SitioScraping (3 copias), portadaEsInvalida() en scraping.ts, wiring en resolverMetadatosCompletos (metadatos.ts) para descartar placeholders y probar el siguiente sitio, control nuevo en GestionSitiosScrapingComponent, tests y docs (tech-specs.md, PRD.md); abre PR #90, pendiente de validacion en staging",Claude Code,mobile,medium
Backend,19/08/2026 07:25,19/08/2026 07:44,0:19:00,AI,Sonnet 5,"Corrige bug real reportado por el usuario en staging: /admin/sitios se veia incompleto (sin botones Eliminar, solo el primer sitio con info) porque GET /api/sitios-scraping devolvia filas viejas sin el atributo palabrasClaveInvalidas (agregado en la Tarea 2) y el componente lanzaba al leer .length/.join() sobre undefined; el mismo hueco rompia con 500 GET /api/metadatos/:isbn (ruta critica de catalogacion) en cuanto un sitio viejo lograba scrapear una portada. Normaliza en los 2 puntos de lectura (sitios-scraping.ts, metadatos.ts) y agrega guardas ?? [] en el componente; tests de regresion en los 3 archivos; push al PR #90 ya abierto",Claude Code,mobile,medium
Workspace settting,19/08/2026 08:05,19/08/2026 08:12,0:07:00,AI,Sonnet 5,"Cierra la Tarea 2 (palabras clave de portada invalida) en TODO.md tras confirmacion del usuario en staging (PR #90); agrega la entrada correspondiente a MEMORY.md 2 (incluye el bug de palabrasClaveInvalidas sin normalizar y su fix), un gotcha nuevo en 7 (campos nuevos sobre filas de DynamoDB ya existentes) y la narrativa de sesion en 9; promueve la Tarea 3 (proceso asincrono Validar libros) como siguiente pieza del roadmap, sin detallar sus pasos atomicos todavia; ultimo commit al PR #90 antes de que el usuario lo fusione",Claude Code,mobile,lowSpecs definition,19/08/2026 09:15,19/08/2026 09:47,0:32:00,AI,Sonnet 5,"Disena el detalle fino de la Tarea 3 (proceso asincrono Validar libros, PVP + portada por mueble): modelo de la tabla babel-validaciones-libros, contrato de las 3 Lambdas (iniciar/worker/consultar), estrategia de lotes de 20 libros agrupados por mueble, permisos IAM incluida la auto-invocacion (ARN por convencion para evitar dependencia circular), manejo de corridas colgadas. Nuevo documento plan-validar-libros-async.md, ADR-012 en MEMORY.md 3, referencias en tech-specs.md y PRD.md, TODO.md actualizado; PR solo-docs, implementacion pendiente de iniciar",Claude Code,mobile,high
Backend,19/08/2026 09:48,19/08/2026 10:23,0:35:00,AI,Sonnet 5,"Implementa el backend de la Tarea 3 (proceso asincrono Validar libros): tabla babel-validaciones-libros, 3 Lambdas nuevas (iniciarValidacionLibros, validarLibrosWorker auto-invocada por lotes de 20 agrupados por mueble, consultarValidacionLibros), roles IAM incluida la auto-invocacion (ARN por convencion), regla de consenso de PVP, chequeo global de portada invalida con reemplazo automatico o marcado pendiente, libros sin ISBN se saltan solo PVP. Nueva dependencia @aws-sdk/client-lambda. 28 tests nuevos (334 en total, todos pasan); build y npm run build verificados; PR abierto para revision",Claude Code,mobile,high
Workspace settting,19/08/2026 10:40,19/08/2026 10:44,0:04:00,AI,Sonnet 5,"Cierra el backend de la Tarea 3 (Validar libros) en TODO.md/MEMORY.md tras confirmacion del usuario en staging (PR #92, Funciona bien); deja el frontend (ValidarLibrosComponent) marcado LISTO PARA INICIAR con el contrato ya referenciado; commit adicional a la misma rama del PR abierto para que quede listo al fusionar",Claude Code,mobile,low
Frontend,19/08/2026 10:44,19/08/2026 11:11,0:27:00,AI,Sonnet 5,"Implementa el frontend de la Tarea 3 (Validar libros): ValidacionesLibrosService (core/api, maneja el 409 explicitamente para retomar la corrida en curso) y ValidarLibrosComponent en /admin/validar-libros (boton Iniciar validacion, barra de progreso, mueble actual, contadores en vivo, portadas pendientes/errores al terminar, polling cada 3s). Bug real encontrado y corregido: el boton no se reactivaba si se perdia la conexion durante el polling. Nueva tarjeta en AdminInicioComponent. 17 tests nuevos (345 frontend en total, todos en verde); build y smoke test SSR verificados (npx ng serve + curl, RoleGuard redirige 302 sin sesion). Cierra la Tarea 3 y el lote completo de 3 ajustes de catalogacion del 2026-08-18; PR pendiente de abrir",Claude Code,mobile,high
Backend,19/08/2026 11:32,19/08/2026 11:39,0:07:00,AI,Sonnet 5,"Corrige bug real reportado por el usuario en staging: POST /api/validaciones-libros respondia 500 al presionar Iniciar validacion. Causa raiz: IniciarValidacionLambdaRole solo tenia dynamodb:Scan sobre babel-usuarios pero el codigo resuelve el rol con GetItem (obtenerPorClave) - desajuste invisible para tests que mockean la capa de DynamoDB. Corregido separando el permiso de babel-usuarios a GetItem en serverless.yml; revisados los otros 2 roles nuevos linea por linea, sin el mismo bug. Gotcha nuevo documentado en MEMORY.md 7. npx serverless print/package y las 2 suites de tests reverificados sin errores; commit adicional al PR #93 abierto",Claude Code,mobile,medium
Specs definition,19/08/2026 11:39,19/08/2026 12:00,0:21:00,AI,Sonnet 5,"Limpia ramas locales fusionadas; planea con Plan mode el selector manual de portada por ISBN (Catalogar/Editar): 3 preguntas de producto resueltas con AskUserQuestion (alcance solo ISBN v1, sitios info:true, excluir portadas ya conocidas como invalidas), agente Plan valida diseno contra codigo real (endpoint GET /api/metadatos/:isbn/portadas, componente compartido nuevo). Plan aprobado por el usuario via ExitPlanMode",Claude Code,mobile,medium
Backend,19/08/2026 12:00,19/08/2026 12:33,0:33:00,AI,Sonnet 5,"Implementa GET /api/metadatos/:isbn/portadas (handlerBuscarPortadas, resolverPortadasCandidatas en metadatos.ts) que devuelve TODAS las portadas candidatas de los sitios info:true, no solo la primera por prioridad; reutiliza scrapearSitio/portadaEsInvalida existentes. Nueva funcion Lambda metadatosPortadas + rol IAM verificado accion por accion contra dynamodb.ts (leccion del incidente de IAM del mismo dia). 9 tests nuevos (343 backend en verde); serverless print/package verificados",Claude Code,mobile,medium
Frontend,19/08/2026 12:33,19/08/2026 13:06,0:33:00,AI,Sonnet 5,"Implementa MetadatosService.buscarPortadas() + SelectorPortadaComponent nuevo (primer componente shared/ con estado real, input/output signal-based). Wiring en CatalogarLibroComponent y EditarLibroComponent (boton de icono junto al thumbnail, agrega el thumbnail que faltaba en Editar). 21 tests nuevos (363 frontend en total). Hallazgo real de Angular durante las pruebas (no regresion): setValue+detectChanges no actualiza un @if que lee formControl.value, hace falta un evento DOM input real - documentado como gotcha. Smoke test ng serve + curl /catalogar (200)",Claude Code,mobile,medium
Workspace settting,19/08/2026 13:18,19/08/2026 13:22,0:04:00,AI,Sonnet 5,"Cierra el selector manual de portada en TODO.md/MEMORY.md tras verificacion visual exitosa del usuario en staging con login real; commit adicional a la misma rama del PR #94 abierto para que quede listo al fusionar",Claude Code,mobile,low
Frontend,19/08/2026 18:16,19/08/2026 18:24,0:08:00,AI,Sonnet 5,"Hotfix: /catalogar y /admin (y sus sub-rutas) no actualizaban el <title> del navegador (Title service singleton, nunca tocado fuera de catalogo-publico/libro-detalle). Agrega title: a cada ruta en app.routes.ts y actualiza el <title> al cambiar de pestana Catalogar/Editar en GestionarComponent (comparten la misma ruta). Build y 363 tests en verde",Claude Code,cli,low
Cloud infraestructure,19/08/2026 18:40,19/08/2026 18:49,0:09:00,AI,Sonnet 5,"Hotfix doble sobre /admin/validar-libros: (1) faltaba en app.routes.server.ts (serverRoutes), causaba RenderMode.Server en catch-all y redirigia a / en cada recargo real (mismo bug ya resuelto para /catalogar). (2) Investigado con AWS CLI/CloudWatch por que la corrida de produccion se detuvo en 320/924 libros: 16 invocaciones limpias de validarLibrosWorker, cero errores/throttles, RecursiveInvocationsDropped=1 confirmado - es la deteccion de bucles recursivos de Lambda (activa por defecto) cortando la auto-invocacion intencional de ADR-012 a los ~16 hops. Fix: RecursiveLoop: Allow via resources.extensions en serverless.yml (verificado con serverless package que se fusiona en el CFN compilado). Build, 363 tests frontend y 343 tests backend en verde",Claude Code,cli,high
Frontend,19/08/2026 19:00,19/08/2026 19:25,0:25:00,AI,Sonnet 5,"Agrega thumbnail de portada a la izquierda de cada fila en la pestana Editar de /catalogar (EditarLibroComponent) - mismo tamano/placeholder Sin portada ya usado en la vista de lista del catalogo publico, para detectar a simple vista portadas fuera de lugar. Build y 363 tests en verde",Claude Code,cli,low
Frontend,19/08/2026 19:33,19/08/2026 19:57,0:24:00,AI,Sonnet 5,"Agrega linea de ubicacion fisica completa (Espacio -> Mueble -> Ubicacion) a cada fila de la pestana Editar de /catalogar - reemplaza nombreUbicacion() (solo ultimo eslabon) por rutaUbicacion() (cascada completa, mismo criterio que editar()). Agranda el thumbnail (h-16 w-12 -> h-24 w-16) para acomodar la linea nueva. Build y 363 tests en verde",Claude Code,cli,low
Frontend,20/08/2026 09:44,20/08/2026 09:46,0:02:00,AI,Sonnet 5,"LoginComponent valida contra babel-usuarios (GET /api/usuarios/me) tras el login de Firebase, no solo el login en si: si el correo no tiene Usuario en Babel (cuenta de otro proyecto Le Tiende como Comandante o Agora, mismo proyecto Firebase compartido), cierra la sesion de inmediato y muestra mensaje en linea explicandolo, en vez de dejarlo autenticado sin permisos hasta que RoleGuard lo rebotara en silencio al entrar a /catalogar. Bug diagnosticado con un caso real (correo sin registrar en babel-usuarios-production via AWS CLI). Build y 366 tests en verde",Claude Code,cli,medium
Backend,20/08/2026 09:46,20/08/2026 10:14,0:28:00,AI,Sonnet 5,"Diagnostico y fix: dos sitios nuevos agregados en /admin/sitios (Casa Tomada, Libreria de la U) no traian imagenes/datos aunque quedaron bien configurados en babel-sitios-scraping (verificado con AWS CLI: dominio, info y pvp correctos). Causa real: babel-sitios-scraping solo es politica, el mecanismo de extraccion vive en codigo (ADAPTADORES_POR_DOMINIO en scraping.ts, ADR-010) y ninguno de los 2 dominios tenia adaptador -> scrapearSitio devolvia vacio en silencio. Investigado en vivo contra ambos sitios reales: Libreria de la U es VTEX (mismos campos que Lerner, reusa consultarApiVtex), Casa Tomada corre la misma plataforma que Tornamesa (se generalizo consultarTornamesa a consultarPlataformaListaLibros(urlBase, query)). 4 tests nuevos con fixtures reales, build:api y 347 tests backend en verde",Claude Code,cli,medium
Specs definition,20/08/2026 10:14,20/08/2026 10:27,0:13:00,AI,Sonnet 5,"Actualiza documentacion tras confirmar en produccion que los adaptadores de Casa Tomada/Libreria de la U funcionan bien: nueva entrada en docs/MEMORY.md paragraph 2, nueva Tarea ad-hoc COMPLETA en docs/TODO.md, y conteo de sitios con adaptador (4 semilla -> 6) mas nota sobre politica vs mecanismo en docs/tech-specs.md",Claude Code,cli,low
Backend,28/08/2026 15:35,28/08/2026 16:01,0:26:00,AI,Sonnet 5,"Diagnostica y corrige bug real reportado en produccion: el buscador de libros en Catalogar > Editar no funcionaba con 2.000+ libros pero si en staging. Causa raiz: escanearTodo/escanearMayorQue/escanearProyeccion (dynamodb.ts) nunca revisaban LastEvaluatedKey de un Scan de DynamoDB (limite ~1MB por pagina), asi que solo devolvian la primera pagina sin lanzar ningun error; afecta tambien catalogo publico, reportes XLSX y el worker de Validar libros en cuanto la tabla crece. Se extrae escanearPaginado() compartido que sigue ExclusiveStartKey hasta agotar todas las paginas; nuevo dynamodb.spec.ts (no existia cobertura directa de este archivo) prueba la paginacion real con send() mockeado. Abre PR #101",Claude Code,mobile,high
Cloud infraestructure,28/08/2026 16:20,28/08/2026 16:38,0:18:00,AI,Sonnet 5,"Fix de seguimiento: el usuario reporto que el buscador de Editar seguia sin funcionar tras el deploy del PR #101. Investigada la consecuencia directa de ese fix: escanearTodo/escanearMayorQue ahora hacen varias llamadas Scan secuenciales en vez de una sola (correcto, pero mas lento) y babel-libros ya sobre el limite de ~1MB por pagina puede superar el timeout por defecto del provider (10s), sobre todo en cold start. Sube a 25s (mismo valor que metadatos/metadatosBuscar) las funciones libros, librosInventario, exportarInventario, iniciarValidacionLibros, y preventivamente listarVentas/exportarVentas. Solo config de infra, sin cambios de codigo de aplicacion. Abre PR #102",Claude Code,mobile,medium
Frontend,29/08/2026 11:06,29/08/2026 11:22,0:16:00,AI,Opus 5,"Corrige la causa REAL del buscador roto en Catalogar > Editar, que ni el fix de paginacion (PR #101) ni la subida de timeout a 25s (PR #102) resolvieron: el stack de DevTools apuntaba al computed librosFiltrados del cliente, no al Lambda. Un libro catalogado sin ISBN se persiste con el atributo AUSENTE en babel-libros (omitirCamposNulos, porque el GSI isbn-index tipa isbn estrictamente S), asi que GET /api/libros/inventario devolvia ese libro con isbn undefined y no null; el guard libro.isbn !== null de editar-libro.component.ts lo dejaba pasar y undefined.includes() lanzaba TypeError dentro del computed, tumbando el render de TODA la lista apenas se escribia en el buscador. Fix en dos capas: el filtro del componente lee titulo/autor/isbn con ?? '' (sin comparar contra null), y nuevo helper normalizarLibro() en server/api/handlers/libros.ts restituye isbn: null en los cuatro endpoints que devuelven libros crudos de DynamoDB (catalogo publico, ficha, por-isbn e inventario) para honrar el contrato Libro.isbn: string | null. Dos tests de regresion (componente y handler); el del componente reproduce el TypeError exacto sin el fix. 365 tests Angular + 354 de API en verde, build limpio",Claude Code,cli,medium
Specs definition,29/08/2026 11:40,29/08/2026 11:54,0:14:00,AI,Sonnet 5,"Cierra la limpieza local y la documentacion del PR #103 (fusionado por el usuario): main actualizado, rama local fix/buscador-editar-isbn-undefined eliminada, remotos podados. Documenta la saga completa (PR #101 paginacion, PR #102 timeout, PR #103 causa raiz real) en docs/MEMORY.md §2 (bitacora) y §7 (gotcha nuevo: campo string | null persiste como atributo AUSENTE -> undefined en JSON, no null, cuando se omite deliberadamente al escribir; misma clase que el gotcha de palabrasClaveInvalidas del 2026-08-19) y en docs/TODO.md como tarea ad-hoc cerrada",Claude Code,cli,low
Specs definition,29/08/2026 12:38,29/08/2026 13:23,0:45:00,AI,Opus 5,"Valida y disena el lote de 3 funcionalidades nuevas traido por el usuario (duplicados en catalogacion, apilamiento en catalogo publico, reporte de libros repetidos) tras detectar un libro catalogado dos veces en la misma ubicacion. Revisa el codigo real antes de disenar y encuentra la causa probable del incidente: seleccionarDuplicado() sobrescribe en silencio el panel de Ubicacion con la del duplicado, y la advertencia no distingue misma ubicacion de otra. Resuelve 4 ambiguedades con el usuario via AskUserQuestion antes de escribir nada: semantica del campo Cantidad (enviar la diferencia al endpoint atomico ya existente, en vez del total, para no reintroducir la condicion de carrera del PR #79), criterio de apilamiento (solo ISBN; se descarta ISBN-o-titulo por encadenamiento transitivo), como consultar Babel primero al buscar por titulo/autor (indice ligero cacheado en cliente; babel-libros no tiene GSI por titulo y un Scan por busqueda caeria en la ruta critica) y el PVP en la ficha apilada (por panel, con rango en cabecera). Nuevo docs/plan-duplicados-catalogacion.md con 4 tareas, diagrama Mermaid del flujo de decision (validado), 7 supuestos explicitos y recordatorios de proceso (limite de 256 chars en descriptions, IAM accion por accion, package.patterns). Motor JIT actualizado en docs/TODO.md (Tareas 1 y 2 activas, 3 y 4 en cola) y bitacora en docs/MEMORY.md 2; corrige de paso la Rama de trabajo actual en 1, desactualizada desde el PR #90. Abre PR #105",Claude Code,cli,high
Specs definition,29/08/2026 13:55,29/08/2026 13:58,0:03:00,AI,Sonnet 5,"Ajusta docs/plan-duplicados-catalogacion.md, docs/TODO.md y docs/MEMORY.md 2 tras la confirmacion del usuario de los 7 supuestos S1-S7 del plan (PR #105): pasan de decididos por defecto/a confirmar a confirmados por el usuario tal cual, sin ajustes de contenido. Push al mismo PR abierto",Claude Code,cli,low
Frontend,29/08/2026 13:59,29/08/2026 14:17,0:18:00,AI,Sonnet 5,"Implementa la Tarea 1 del lote de duplicados (docs/plan-duplicados-catalogacion.md 4): CatalogarLibroComponent gana un computed duplicadoEnMismaUbicacion (reactivo a libroDuplicadoSeleccionado/panelUbicacionId) y un effect() que en el caso bloqueante deshabilita todo el formulario salvo Cantidad (precargada con el TOTAL existente), cambia el boton a Editar libro y elimina el enlace de ignorar; guardar() calcula el DELTA y solo lo envia a fusionar-duplicado si es positivo. Corrige la causa real del incidente reportado por el usuario: seleccionarDuplicado ya no sobreescribe el panel de Ubicacion en silencio -- el caso otra ubicacion ahora crea un bookId nuevo e independiente (POST /api/libros) en la ubicacion que el vendedor ya habia elegido, nunca fusiona con el libro de la otra ubicacion. Invierte dispararBusquedaPorIsbn para que Babel se consulte primero (GET /api/libros/por-isbn/:isbn) y la busqueda de metadatos externos se salte por completo si el ISBN ya esta catalogado. Sin backend nuevo. Reescribe el describe completo de deteccion de duplicados en el spec para el nuevo contrato (casos MISMA/OTRA ubicacion, delta, reclasificacion reactiva) -- 369 tests frontend en verde (antes 365), 354 backend sin tocar, build limpio, smoke test ng serve + curl /catalogar (200). Actualiza el checklist de la Tarea 1 en el plan a COMPLETA, promueve la Tarea 3 al segundo slot activo en TODO.md y registra la bitacora en MEMORY.md 2",Claude Code,cli,high
